input_velocity
[28.271821169729268, 1611083086.862684]
[28.415509769335657, 1611083087.195122]
mouse
[1280.0, 1611083086.528813]
[1280.0, 1611083086.545785]
[1281.0, 1611083086.562221]
[1281.0, 1611083086.579313]
[1282.0, 1611083086.595937]
[1282.0, 1611083086.61266]
[1283.0, 1611083086.629279]
[1283.0, 1611083086.645969]
[1284.0, 1611083086.662687]
[1284.0, 1611083086.679278]
[1285.0, 1611083086.695915]
[1285.0, 1611083086.712554]
[1286.0, 1611083086.729306]
[1286.0, 1611083086.746254]
[1287.0, 1611083086.762643]
[1287.0, 1611083086.779424]
[1288.0, 1611083086.795996]
[1288.0, 1611083086.812541]
[1289.0, 1611083086.829289]
[1289.0, 1611083086.846032]
[1290.0, 1611083086.862687]
[1290.0, 1611083086.879316]
[1291.0, 1611083086.89573]
[1291.0, 1611083086.912737]
[1292.0, 1611083086.928443]
[1292.0, 1611083086.946074]
[1293.0, 1611083086.962696]
[1293.0, 1611083086.979325]
[1294.0, 1611083086.994687]
[1294.0, 1611083087.011906]
[1295.0, 1611083087.029473]
[1295.0, 1611083087.045563]
[1296.0, 1611083087.062909]
[1296.0, 1611083087.079273]
[1297.0, 1611083087.096072]
[1297.0, 1611083087.112884]
[1298.0, 1611083087.129216]
[1298.0, 1611083087.146148]
[1299.0, 1611083087.162249]
[1299.0, 1611083087.178302]
[1300.0, 1611083087.195125]
[1300.0, 1611083087.212979]
[1301.0, 1611083087.229422]
[1301.0, 1611083087.271943]
[1302.0, 1611083087.279086]
[1302.0, 1611083087.314465]
[1303.0, 1611083087.329848]
[1303.0, 1611083087.363243]
[1304.0, 1611083087.40554]
[1304.0, 1611083087.412699]
[1305.0, 1611083087.448737]
[1305.0, 1611083087.462497]
[1306.0, 1611083087.496504]
[1306.0, 1611083087.513027]
[1307.0, 1611083087.541236]
[1307.0, 1611083087.54574]
[1308.0, 1611083087.562111]
[1308.0, 1611083087.58864]
[1309.0, 1611083087.595143]
[1309.0, 1611083087.631726]
target
[1280, 1611083087.631847]
[1288.0, 1611083087.631885]
velocity
[8.0, 1611083086.504468]
